Question,A,B,C,D,RightAnswer,QuesionType,Link,DificultyLevel
A can do a work in 15 days and B in 20 days. If they work on it together for 4 days| then the fraction of the work that is left is :,1/4,1/10,7/15,8/15,D,Text,-,1
A can lay railway track between two given stations in 16 days and B can do the same job in 12 days. With help of C| they did the job in 4 days only. Then| C alone can do the job in:,9 1/5 days,9 2/5 days,9 3/5 days,10,C,Text,-,1
A| B and C can do a piece of work in 20| 30 and 60 days respectively. In how many days can A do the work if he is assisted by B and C on every third day?,12 days,15 days,16 days,18 days,B,Text,-,1
How many times are the hands of a clock at right angle in a day?,22,24,44,48,C,Text,-,1
How many times in a day| are the hands of a clock in straight line but opposite in direction?,20,22,24,48,B,Text,-,1	
How many times do the hands of a clock coincide in a day?,20,21,22,24,C,Text,-,3
A watch which gains uniformly is 2 minutes low at noon on Monday and is 4 min. 48 sec fast at 2 p.m. on the following Monday. When was it correct?,2 p.m. on Tuesday,2 p.m. on Wednesday,3 p.m. on Thursday,1 p.m. on Friday,B,Text,-,3
(112 x 54) = ?,67000,70000,76500,77200,B,Text,-,3
What least number must be added to 1056| so that the sum is completely divisible by 23 ?,2,3,18,21,A,Text,-,3
1397 x 1397 = ?,1951609,1981709,18362619,2031719,A,Text,-,3
If one-third of one-fourth of a number is 15| then three-tenth of that number is:,35,36,45,54,D,Text,-,5
Three times the first of three consecutive odd integers is 3 more than twice the third. The third integer is:,9,11,13,15,D,Text,-,5
A two-digit number is such that the product of the digits is 8. When 18 is added to the number| then the digits are reversed. The number is,18,24,42,81,B,Text,-,5
3 pumps| working 8 hours a day| can empty a tank in 2 days. How many hours a day must 4 pumps work to empty the tank in 1 day?,9,10,11,12,B,Text,-,5
Running at the same constant rate| 6 identical machines can produce a total of 270 bottles per minute. At this rate| how many bottles could 10 such machines produce in 4 minutes?,648,1800,2700,10800,B,Text,-,5
Can you guess this game?,Pokemon,PUBG,Chain Reaction,Candy Crush,B,Image,https://www.google.com/imgres?imgurl=https%3A%2F%2Fqph.fs.quoracdn.net%2Fmain-qimg-cdef3ff14463f458ab13e167687b0340&imgrefurl=https%3A%2F%2Fwww.quora.com%2FWhat-is-meant-by-chicken-dinner-in-PUBG&tbnid=OoYpkUTwg6_VSM&vet=12ahUKEwis7IHSovDrAhXYi0sFHZGfAfIQMygMegUIARDsAQ..i&docid=l6J7V5rEq5ncqM&w=561&h=367&q=winner%20winner%20chicken%20dinner&ved=2ahUKEwis7IHSovDrAhXYi0sFHZGfAfIQMygMegUIARDsAQ,1
Who is the movie mafiya?,Karan Johar,Dipika Padukon,Salman Khan,Kangana Ranot,A,Image,https://www.google.com/imgres?imgurl=https%3A%2F%2Fcdn.dnaindia.com%2Fsites%2Fdefault%2Ffiles%2Fstyles%2Ffull%2Fpublic%2F2020%2F09%2F15%2F925291-fotojet-2020-09-15t224633.447.jpg&imgrefurl=https%3A%2F%2Fwww.dnaindia.com%2Flifestyle%2Freport-karan-johar-has-a-quirky-message-for-everyone-as-he-leaves-for-goa-amid-ssr-case-controversies-pic-inside-2843241&tbnid=QrWQZsZi8Efl9M&vet=12ahUKEwiQ3fm4o_DrAhW1oUsFHdT6BPYQMygAegUIARDMAQ..i&docid=9iwsTm27MSeH_M&w=1280&h=720&itg=1&q=karan%20johar&ved=2ahUKEwiQ3fm4o_DrAhW1oUsFHdT6BPYQMygAegUIARDMAQ,1
Can you guess this movie?,Batti gul meter chalu,Chup Chup Ke,Bahubali,Kahona Play he,C,Image,https://www.google.com/imgres?imgurl=https%3A%2F%2Fstatic.toiimg.com%2Fthumb%2Fmsid-76889998%2Cwidth-800%2Cheight-600%2Cresizemode-75%2Cimgsize-503418%2Cpt-32%2Cy_pad-40%2F76889998.jpg&imgrefurl=https%3A%2F%2Ftimesofindia.indiatimes.com%2Fentertainment%2Ftamil%2Fmovies%2Fnews%2Fprabhas-feels-nostalgic-about-5-years-of-bahubali-the-beginning%2Farticleshow%2F76889998.cms&tbnid=BBkrm9A7DDTyjM&vet=12ahUKEwi4tbXLo_DrAhV2m0sFHZUwCz8QMygBegUIARDOAQ..i&docid=gYIwm4SZo12X3M&w=800&h=600&q=bahubali&ved=2ahUKEwi4tbXLo_DrAhV2m0sFHZUwCz8QMygBegUIARDOAQ,1
Can you guess the following character?,Babu bhaiya,Dev,PK,Bandiya,D,Image,https://www.google.com/imgres?imgurl=https%3A%2F%2Fimg.republicworld.com%2Frepublic-prod%2Fstories%2Fpromolarge%2Fxxhdpi%2Fpobwyubfindgbagr_1584334061.jpeg&imgrefurl=https%3A%2F%2Fwww.republicworld.com%2Fentertainment-news%2Fbollywood-news%2Frajpal-yadav-birthday-the-actors-funniest-scenes-from-chup-chup-ke.html&tbnid=SmbKXd3ScKosQM&vet=12ahUKEwjc2-jDpPDrAhVKHHIKHbeQB8IQMygAegUIARCoAQ..i&docid=twWWyrzxJkG6fM&w=1242&h=710&q=bandiya%20chup%20chup%20ke&ved=2ahUKEwjc2-jDpPDrAhVKHHIKHbeQB8IQMygAegUIARCoAQ,3
Can you guess the movie name?,PANGA,Kabir Singh,Love Aaj Kal,Mardani 2,B,Image,https://www.google.com/imgres?imgurl=https%3A%2F%2Fcdn.dnaindia.com%2Fsites%2Fdefault%2Ffiles%2Fstyles%2Ffull%2Fpublic%2F2019%2F06%2F11%2F834893-shahidkapoor-kabirsingh-maid.jpg&imgrefurl=https%3A%2F%2Fwww.dnaindia.com%2Fbollywood%2Freport-is-shahid-kapoor-kabir-singh-in-real-life-when-it-comes-to-house-help-the-actor-reveals-2759538&tbnid=ByvTIDeuTtqsfM&vet=12ahUKEwiy7IfcpPDrAhWJlUsFHTkqDq4QMygIegUIARCzAQ..i&docid=_bewIJqwo_R10M&w=1280&h=720&q=kabir%20singh%20funny%20scenes&ved=2ahUKEwiy7IfcpPDrAhWJlUsFHTkqDq4QMygIegUIARCzAQ,3
Can you guess the gold digger?,Kangna,Reah,Sonam,Dipika,B,Image,https://www.google.com/imgres?imgurl=https%3A%2F%2Fszcdn.ragalahari.com%2Foct2017%2Fposters%2Frhea-chakraborty-junior-kuppanna%2Frhea-chakraborty-junior-kuppannathumb.jpg&imgrefurl=https%3A%2F%2Fwww.ragalahari.com%2Fstars%2Fprofile%2F4048%2Frhea-chakraborty.aspx&tbnid=2X6wYJKCZaafOM&vet=12ahUKEwi07JSxpfDrAhXsAbcAHRB8ClQQMygCegUIARC2AQ..i&docid=EOBHUH_5VRd8XM&w=200&h=175&q=reah%20chakravarthy%20movies&ved=2ahUKEwi07JSxpfDrAhXsAbcAHRB8ClQQMygCegUIARC2AQ,3
Can you guess the the meme?,Nibba-Nibbi,Maro muje maro,Marmonium Chachha,Rasode me kon tha,D,Image,https://www.google.com/imgres?imgurl=https%3A%2F%2Fpbs.twimg.com%2Fmedia%2FEgMC6iLUwAAzY7_.jpg&imgrefurl=https%3A%2F%2Ftwitter.com%2FSTUPIDREACTIONS%2Fstatus%2F1297884136393195521&tbnid=1AnHlf4LzCIgtM&vet=12ahUKEwiozt-_pfDrAhUkwXMBHSsCCqkQMyg2egQIARAx..i&docid=1v26iLo8DRnaUM&w=827&h=1019&q=rasode%20me%20kon%20tha&ved=2ahUKEwiozt-_pfDrAhUkwXMBHSsCCqkQMyg2egQIARAx,5
Can you guess laptop cleaner?,Rashi,Gopi,Kokila,Chana,B,Image,https://www.google.com/imgres?imgurl=https%3A%2F%2Fs3.india.com%2Fwp-content%2Fuploads%2F2020%2F08%2FGia-Manek.jpg&imgrefurl=https%3A%2F%2Fwww.india.com%2Fentertainment%2Ftv-news-rasode-mein-kaun-tha-gopi-bahi-aka-gia-manek-reacts-to-viral-video-says-i-am-enjoying-it-immensely-4122643%2F&tbnid=cJylfNmTXEBRMM&vet=12ahUKEwiozt-_pfDrAhUkwXMBHSsCCqkQMygwegUIARD6AQ..i&docid=o1bBAOO3gM0ALM&w=1200&h=800&q=rasode%20me%20kon%20tha&ved=2ahUKEwiozt-_pfDrAhUkwXMBHSsCCqkQMygwegUIARD6AQ,5
Can you guess this webseries?,Made in heaven,Special ops,Family Man,Little Things,D,Image,https://www.google.com/imgres?imgurl=https%3A%2F%2Fmoscoop.com%2Fwp-content%2Fuploads%2F2020%2F07%2FFilm_Companion_Little-Things_Season-3_Review_lead-1-1-696x435.jpg&imgrefurl=https%3A%2F%2Fmoscoop.com%2Flittle-things-season-4-release-date-plot-cast-and-about-this-show%2F24151&tbnid=MYhhNiggml_jwM&vet=12ahUKEwialpSypvDrAhWDhEsFHdLLDVEQMygOegUIARC9AQ..i&docid=6hfMFgM2AUglfM&w=696&h=435&q=little%20things%20season%204&ved=2ahUKEwialpSypvDrAhWDhEsFHdLLDVEQMygOegUIARC9AQ,5
Can you guess the movie?,Bahubali,Kabir Singh,Love Aaj Kal,Mardani,A,Audio,https://drive.google.com/file/d/1QSyLwjqM8BKxCAPx1TMhAr7fAKU2jcBM/view?usp=sharing,1
Can you guess the actor?,Akshay Kumar,Salman Khan,Sunil Shetty,Paresh Rawal,C,Audio,https://drive.google.com/file/d/18-FR9KO-tl85HhLcRrYHKxY_2FU5QbWE/view?usp=sharing,1
Can you guess the movie?,Dhamal,Dhol,Golmaal,Paying Guest,C,Audio,https://drive.google.com/file/d/1FlBzIO_zYPLV8pHKSFBsN6fTgvKVoRG0/view?usp=sharing,1
Can you guess the meme?,oooo oooho o,Tera baap aaya,Rasode me kon tha,FAU-G,C,Audio,https://drive.google.com/file/d/1gHxgvQ26PsFg2m3zsodeVJ1IrTgChDhq/view?usp=sharing,3
Can you guess the movie?,PANGA,Lagan,Karz,Gaddar,D,Audio,https://drive.google.com/file/d/18KkAf6QSK84V97ZL_x_q7Lxnset2yzA0/view?usp=sharing,3
Can you guess the movie?,Kai po che,Drive,Housefull 4,Housefull,D,Audio,https://drive.google.com/file/d/1bh2UxIBDpxgkwFJFZSF34t0hKQReh1f6/view?usp=sharing,5
Can you guess the webseries?,Made in heaven,Special ops,Little Things,Family Man,C,Video,https://drive.google.com/file/d/1-k9mlIllwjK2TxjQxNCemHr0i1Z4SHPu/view?usp=sharing,1
Can You guess the cartoon show?,Tom & jerry,Chota bhim,MR. bean,Doremon,C,Video,https://drive.google.com/file/d/1-iRRMG3l6gQiiu1lhTeWBvVAoOQEKewc/view?usp=sharing,3
Can you guess the Gujrati movie?,Gujju bhai,Chhello diwar,Chal man jitva jaia,Chal jivi laia,B,Video,https://drive.google.com/file/d/1-_GUcmLWELkCpUK62JPgoz23-UKQ5cqS/view?usp=sharing,5



